arrival_date_year,arrival_date_month,day_name,is_canceled
2017,January,Friday,0.39344262295081966
2017,January,Monday,0.3333333333333333
2017,January,Saturday,0.34299516908212563
2017,January,Sunday,0.30578512396694213
2017,January,Thursday,0.325
2017,January,Tuesday,0.288
2017,January,Wednesday,0.27467811158798283
2017,July,Friday,0.38529411764705884
2017,July,Monday,0.33629893238434166
2017,July,Saturday,0.3614457831325301
2017,July,Sunday,0.3356009070294785
2017,July,Thursday,0.36061381074168797
2017,July,Tuesday,0.29878048780487804
2017,July,Wednesday,0.33554817275747506
2017,June,Friday,0.3588621444201313
2017,June,Monday,0.3117505995203837
2017,June,Saturday,0.3547297297297297
2017,June,Sunday,0.2861356932153392
2017,June,Thursday,0.38811881188118813
2017,June,Tuesday,0.29973474801061006
2017,June,Wednesday,0.3180428134556575
2017,March,Friday,0.32842105263157895
